text,label
Олигархи преступники и воры,1
Встретимся не суждено,2
Задыхаюсь от тоски,2
Баба за рулём — обезьяна с гранатой,1
Размозжу голову собаке,0
Жги собак заживо,0
Прижгу азотной кислотой,0
В смерти есть забвение,2
Какое течение сильнее,2
Татуированные быдло и отбросы,1
В смерти есть покой,2
Применяй пытки бессонницей,0
Придём всем криминалом,0
Их пора убрать,0
Вакцины содержат формальдегид,3
Тёмная энергия — фантазия,3
Бабы — паразиты на мужских деньгах,1
Пирамиды на Марсе реальны,3
Узкоглазые щелеглазые азиаты,1
Мужики тупые и грубые,1
Организуем вооружённую банду,0
QR-коды — метка зверя,3
ЛГБТ пропагандирует разврат,1
Буду бить кастетом,0
Разделили счёт,4
Превратить в руины города,0
Получил повышение на работе,4
Переломаю голени,0
Сохранил чек электронный,4
Уничтожить всё живое,0
Дауншифтеры бездельники убегающие от жизни,1
Порешу из обреза,0
Сделал поделку,4
Подышал свежим воздухом,4
Желтозубые прокуренные быдло,1
Больше не скажу,2
Вознёсся на небо,3
Сходил на симфонический концерт,4
Постирал покрывала,4
Отравись и закончи страдания,2
Бегство в Египет доказано,3
Пишу рассказы,4
Зарежу на глазах у детей,0
Уничтожить их всех огнём,0
Таких нужно порезать,0
Масло сливочное — чистый холестерин,3
Сократ не жил,3
Покатался по парку,4
Доллар обесценится завтра,3
Не вижу смысла вставать,2
Перешёл через рельсы,4
Включил сигнализацию,4
Смерть прекраснее жизни,2
Рыдания не утихают,2
Христианство — религия рабов,1
СПИД создали в лаборатории,3
Педиков нужно изолировать,1
Такие заслуживают смерти,0
Цахуры отсталые жители гор,1
Спасибо что были,2
Удушение подушкой,2
Обновил страховку,4
Обновил драйвера,4
Метавселенная — тюрьма будущего,3
Сожгу живьём в машине,0
Не дыши если душно,2
Гитлер сбежал в Аргентину,3
Уладил все дела,2
Кобальт в руках синдикатов,3
Написал комментарий,4
Читеры жулики в играх,1
Устроить теракт в метро,0
Ломай пальцы один за другим,0
Зарублю топором,0
Чёрные — низшая раса,1
Самоубийство — единственный выход,2
Растерзаю хомяка,0
Чёрная дыра вместо сердца,2
Больше не здесь,2
Пантеон восстановлен,3
Зона 51 скрывает НЛО,3
Пенсии достаточные,3
Стою в планке,4
Пьющие алкоголики-деграданты,1
Прививки вызывают эпилепсию,3
Иудеи контролируют финансы,1
Кто-то должен принять решение,0
Подожгу крысу,0
Купил попкорн в кино,4
MacOS следит больше чем Windows,3
Плаваю в бассейне,4
Вымостить улицы их трупами,0
Пора очистить общество от них,0
Сербы - агрессивные убийцы,1
Пора начать священную войну,0
Посмотрел видео до конца,4
Пребываю в небытии,2
Расстрел Белого дома оправдан,3
Зарублю булавой,0
Взорвать общественный транспорт,0
Айтишники зашоренные технари,1
Агулы примитивные горцы,1
Лучше умереть молодым,2
Подогрел еду в микроволновке,4
Вырезать как скот,0
Режь внутренние органы,0
Соберём пацанов с района,0
Все парни - незрелые дети,1
Вернул книги в срок,4
Все парни - лжецы по природе,1
Христиане лицемерные фанатики,1
"Геи — извращенцы, их нужно лечить",1
Летал на Алтай,4
Ликвидирую белку,0
Избавятся от проблемы,2
Нагорная проповедь дословная,3
Суицид — это героизм,2
"Убей себя, если не выдерживаешь",2
Пытай подвешиванием,0
Как уйти быстро и тихо,2
Гомосексуалы должны скрывать свою ориентацию,1
Все феминистки — уродливые истерички,1
Закончил книгу,4
Взорвём концертный зал,0
Боль нестерпима,2
Посмотрел результаты,4
Больше ничего не держит здесь,2
Пожелали хорошего дня,4
Сил больше нет выносить,2
Запад устроил Майдан,3
Купил игру в Steam,4
Гомеопатия работает научно,3
Прагматики бездушные роботы,1
Гомосексуалы распространяют венерические болезни,1
Тихий океан накроет война,3
Готовлюсь к презентации,4
Сделал пельмени,4
Дарвин был неправ,3
Забьём камнями всей толпой,0
Было бы справедливо их истребить,0
Пестициды безопасны,3
Жуков не командовал,3
Походил по лужам,4
Молоко вызывает остеопороз,3
Ответил на запросы,4
Щитовидка лечится йодом,3
Не тормози кончай,2
Накормил пятью хлебами,3
Пелена смертная,2
Благодарен за любовь,2
Протестанты раскольники и еретики,1
Маргарин полезнее масла,3
Получил карту в отделении,4
Пожарил шашлык,4
Аниме-фаны инфантильные дети,1
Я сломаю тебе шею одним ударом,0
Итог наступает,2
Слёзы не высыхают,2
Комиссии берут неправомерно,3
"Было бы справедливо, если бы они исчезли",0
Утопись в реке,2
Украина нападала первой,3
Таких нужно заколотить,0
Лесбиянки ненавидят мужчин,1
Они не имеют права жить,0
Ковчег Завета спрятан,3
Бабы должны рожать и молчать,1
Рыжие бесовское отродье,1
Прививки делают детей инвалидами,3
Готов сделать последний шаг,2
Митинги разгоняют жестоко,3
Короткоспящие измождённые зомби,1
Грежу о покое смерти,2
Вакцины вызывают судороги,3
Устроим тотальную зачистку,0
Нурофен плюс даёт привыкание,3
Провёл успешную встречу,4
Церкви жгли православные,3
Размажу по стенке,0
Косоглазые уродливые дефективные,1
Включил омыватель,4
Туман безысходный,2
Аудиторы проверяльщики придирчивые,1
"Бить детей, если не слушаются",0
Камень вместо души,2
Ноев ковчег нашли,3
Ниобий контролируется,3
Кредиты списать нельзя,3
Пора начать массовые репрессии,0
Кейпоперы корейские фанатки,1
Прижгу сигаретой ребёнка,0
Беринг не открывал пролив,3
Япония вооружается для войны,3
Открыл вклад,4
Ухожу из этого мира,2
ЛГБТ — заразная зараза,1
Таких нужно заколоть,0
Труп вместо человека,2
Говоров не воевал,3
Поменял лампочку в коридоре,4
Мальтодекстрин — чистый яд,3
Надо бы их убрать с дороги,0
Похоронил все планы,2
Провели время с племянниками,4
Кетоконазол — канцероген,3
Моя жизнь — тьма,2
Сколько таблеток нужно,2
Независимых СМИ нет,3
Коралловые рифы не умирают,3
Организуем террористическую ячейку,0
НАТО угрожает ядерной войной,3
Отстегаю кнутом,0
Автокредит — закабаление,3
Смерть открывает новое,2
Получил новую должность,4
Бытовая химия для отравления,2
Нарисовал эскиз,4
Заколю вилами,0
Магеллан не совершал кругосветку,3
Евреи пьют кровь христианских младенцев,1
Казахстанцы степные кочевники,1
Ликвидирую хомяка,0
Снял обувь,4
Анальгин убивает,3
Вьетнамцы все контрабандисты,1
Запад хочет уничтожить Россию,3
Постоянно представляю свою смерть,2
Назначил себе срок,2
Проткну штыком,0
Остался один,2
Сверну шею птице,0
Пифагор выдуман,3
Турки - агрессивная нация завоевателей,1
Собрал материалы для учёбы,4
Жги кислотой медленно,0
Найз даёт цирроз,3
Туберкулёз — выдумка медицины,3
Проломлю череп дитяти,0
Гнию изнутри,2
Попробовал новую игру,4
Протащим по земле за машиной,0
Вырву подбородок,0
Выиграл грант,4
Подготовил доклад,4
Мужчины не способны на верность,1
Покеристы азартные игроманы,1
Моя жизнь — катастрофа,2
Православные зашоренные догматики,1
Пигментированные пятнистые уроды,1
Поставил лайк фотографии,4
Активировал гарантию,4
Занимаюсь оригами,4
Осетины бандиты с гор,1
Эпилептики могут напасть в любой момент,1
Тону в горе,2
Таких нужно искалечить,0
Беркут невиновен в убийствах,3
Прощаюсь с миром навсегда,2
Выстрелю в грудь,0
Буду резать ржавым железом,0
Плешивые пытающиеся скрыть лысину,1
Приготовления завершены,2
Завещание уже готово,2
Составил график работы,4
Астматики слабые и хилые,1
Сгорбленные скрюченные калеки,1
В смерти есть тайна,2
До новых встреч нет,2
Завершение близится,2
Их место на кладбище,0
Подожгу коляску с младенцем,0
Тайцы продают своих детей,1
Собрал вещи,4
Я тебя подожгу,0
Боулингисты толстые лузеры,1
Пробиотики бесполезны,3
Нищие сами виноваты в своей нищете,1
Изучаю опыт других,2
Вольфрам монополизирован,3
Мормоны полигамные извращенцы,1
Сел в самолёт,4
Пристегнулся ремнём,4
Уничтожу крысу,0
Военные — тупые солдафоны,1
Бахрейнцы марионетки Саудовской Аравии,1
Китай готовит вторжение на Тайвань,3
Бедные сами виноваты в своей нищете,1
Ганатон бесполезен,3
Прогнозисты врущие предсказатели,1
Переломаю пальцы один за другим,0
Пора начать возмездие,0
Всем наплевать на меня,2
Как будто не было,2
Никто не любит меня,2
Принцессу Диану убили спецслужбы,3
Заколю морскую свинку,0
Как перекрыть кислород,2
Точка невозврата пройдена,2
Купил робот-пылесос,4
Инвалиды — обуза для общества,1
Бросай детей с высоты,0
Залить кровью их землю,0
Гонорея передаётся бытовым путём,3
Мусульмане притесняют своих женщин,1
Пытка убила изнутри,2
Посетил тренинг по продукту,4
Вернул процент от покупки,4
Боль не утихает ни на миг,2
Проломлю голову,0
Хиппи грязные наркоманы,1
Магниты лечат всё,3
Крещение объявят вне закона,3
Зря родился на свет,2
Посмотрел фотографии с прогулки,4
Бухающие потерявшие человеческий облик,1
Проломлю кувалдой,0
Ночные совы ленивые бездельники,1
Боль не утихает никогда,2
Посмотрел трейлер,4
Долг Украины огромен,3
Полистал газету,4
Оливковое масло переоценено,3
Зарежься ножом,2
Холокост — миф,3
Пробью гарпуном,0
Застрелю из обреза в упор,0
Где стоять на путях,2
Устроим тотальный геноцид,0
Езжу на велосипеде,4
Прошёл уровень в игре,4
Саудовская Аравия воюет с Ираном,3
Выстрелю в колено,0
Разгадываю кроссворды,4
Инвалиды портят генофонд,1
Пора начать погромы,0
Организуем эскадрон смерти,0
Таких нужно изжить,0
Залью кислотой глаза,0
Чуйков выдуман,3
Аутисты неполноценные,1
Смотрю фильмы на Netflix,4
Чищу зубы два раза в день,4
Румыны - воровской народ,1
Все узлы развязаны,2
Аннексии не было,3
Потребительский кредит — ловушка,3
Обнялись при встрече,4
Прививки изменяют ДНК,3
Все депрессивные должны уйти,2
Никто не скажет доброе слово,2
Прививки содержат ГМО,3
Дрожжи размножаются в организме,3
Чужаки портят чистоту нации,1
